TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths,Month,Year,TransactionCategory,GapDays
162,CUST4402,ACC15359,Credit,Withdrawal,Home Loan,Firm E,North,Manager 3,2023-06-06,-20209.22098,77319.43035,0.690673919,845,120,2023-06,2023,Debit,91.0
183,CUST6330,ACC15925,Current,Withdrawal,Mutual Fund,Firm C,West,Manager 4,2023-08-16,50288.59729,115547.2248,0.744799144,734,160,2023-08,2023,Debit,108.0
178,CUST2541,ACC16241,Savings,Deposit,Mutual Fund,Firm D,Central,Manager 3,2023-10-24,66673.77854,52203.2057,0.219475273,765,15,2023-10,2023,Credit,289.0
196,CUST8461,ACC16241,Credit,Withdrawal,Personal Loan,Firm C,West,Manager 4,2024-02-13,65374.00641,85721.07428,0.723957782,829,135,2024-02,2024,Debit,88.0
138,CUST5545,ACC16664,Loan,Withdrawal,Mutual Fund,Firm B,North,Manager 3,2023-11-19,38772.79958,71863.43156,0.679091287,714,103,2023-11,2023,Debit,171.0
8,CUST1749,ACC16664,Credit,Deposit,Home Loan,Firm A,Central,Manager 3,2024-03-21,39883.06036,162980.5791,0.403236433,446,23,2024-03,2024,Credit,123.0
194,CUST6319,ACC17688,Loan,Withdrawal,Mutual Fund,Firm A,North,Manager 2,2024-05-28,129902.8088,90395.88047,0.479094397,412,233,2024-05,2024,Debit,210.0
69,CUST6082,ACC18057,Credit,Payment,Home Loan,Firm B,East,Manager 3,2024-03-30,81957.46609,91644.14363,0.662105524,697,21,2024-03,2024,Debit,378.0
100,CUST8028,ACC19156,Savings,Withdrawal,Savings Account,Firm C,East,Manager 3,2023-10-06,25848.83111,100913.7795,0.355991055,488,145,2023-10,2023,Debit,212.0
103,CUST2626,ACC19156,Loan,Withdrawal,Savings Account,Firm C,East,Manager 4,2024-05-04,62627.44966,126017.5872,0.603774819,585,28,2024-05,2024,Debit,191.0
69,CUST9564,ACC19178,Savings,Transfer,Credit Card,Firm A,East,Manager 1,2023-03-26,20372.40788,66094.63887,0.500340687,800,9,2023-03,2023,Debit,73.0
125,CUST4669,ACC19178,Savings,Withdrawal,Personal Loan,Firm E,North,Manager 2,2023-12-17,87504.41572,133098.7831,0.646909743,611,228,2023-12,2023,Debit,169.0
29,CUST7855,ACC20297,Savings,Deposit,Mutual Fund,Firm E,West,Manager 3,2023-12-25,49446.16946,124754.7305,0.704261311,668,175,2023-12,2023,Credit,131.0
165,CUST2699,ACC20297,Credit,Deposit,Personal Loan,Firm C,Central,Manager 2,2024-05-22,48678.69833,72501.99069,0.28840928,320,55,2024-05,2024,Credit,149.0
167,CUST9843,ACC21264,Current,Transfer,Home Loan,Firm C,East,Manager 2,2023-06-20,149404.3302,71076.7765,0.371491156,769,61,2023-06,2023,Debit,126.0
133,CUST6351,ACC21264,Current,Deposit,Mutual Fund,Firm A,North,Manager 1,2024-04-25,40345.62874,108841.87,0.395997804,635,19,2024-04,2024,Credit,258.0
176,CUST8529,ACC21429,Current,Transfer,Credit Card,Firm B,South,Manager 1,2023-05-12,58180.23058,47690.00861,0.648770365,355,72,2023-05,2023,Debit,65.0
84,CUST6526,ACC21429,Credit,Payment,Savings Account,Firm D,East,Manager 4,2023-11-17,52815.80414,88589.89684,0.488018366,720,97,2023-11,2023,Debit,164.0
31,CUST7994,ACC21429,Loan,Deposit,Mutual Fund,Firm B,East,Manager 4,2024-05-04,57015.80382,82509.89988,0.642543265,385,188,2024-05,2024,Credit,81.0
80,CUST3041,ACC21719,Credit,Deposit,Savings Account,Firm D,Central,Manager 1,2023-10-19,-4859.967874,44677.48767,0.342064445,379,163,2023-10,2023,Credit,277.0
54,CUST5920,ACC21719,Current,Transfer,Home Loan,Firm B,North,Manager 4,2024-04-06,44673.92448,66368.47801,0.742451062,400,90,2024-04,2024,Debit,96.0
98,CUST9564,ACC21878,Credit,Deposit,Mutual Fund,Firm D,Central,Manager 3,2023-08-22,60398.54546,82880.3162,0.437976169,762,181,2023-08,2023,Credit,73.0
187,CUST6292,ACC21878,Credit,Deposit,Personal Loan,Firm C,Central,Manager 3,2023-11-07,59979.76823,12277.12233,0.350251294,374,86,2023-11,2023,Credit,77.0
162,CUST5320,ACC21878,Loan,Transfer,Credit Card,Firm C,West,Manager 2,2024-03-01,86457.82325,82227.60167,0.546241676,472,170,2024-03,2024,Debit,115.0
196,CUST3153,ACC22036,Savings,Deposit,Personal Loan,Firm A,Central,Manager 2,2024-01-12,34001.37749,113917.1129,0.453893594,613,231,2024-01,2024,Credit,161.0
39,CUST1376,ACC22255,Loan,Payment,Mutual Fund,Firm B,East,Manager 2,2023-07-06,11598.69515,68896.13827,0.169169322,420,186,2023-07,2023,Debit,172.0
55,CUST1121,ACC22255,Savings,Transfer,Personal Loan,Firm E,East,Manager 1,2023-10-18,47619.53358,103275.5724,0.30006158,342,70,2023-10,2023,Debit,104.0
145,CUST6937,ACC22255,Loan,Deposit,Savings Account,Firm E,Central,Manager 3,2024-03-22,58651.91779,72225.35527,0.745542196,421,163,2024-03,2024,Credit,103.0
96,CUST5500,ACC22799,Savings,Withdrawal,Credit Card,Firm D,North,Manager 4,2023-11-19,29842.73591,134565.7331,1.030574268,703,182,2023-11,2023,Debit,125.0
130,CUST9038,ACC22799,Credit,Transfer,Home Loan,Firm C,East,Manager 2,2024-01-29,86565.87023,68587.62512,0.179703134,568,171,2024-01,2024,Debit,71.0
48,CUST9248,ACC23736,Savings,Payment,Savings Account,Firm E,West,Manager 3,2023-06-18,79308.09628,57472.39515,0.50034257,732,208,2023-06,2023,Debit,156.0
8,CUST4684,ACC23736,Current,Withdrawal,Savings Account,Firm C,Central,Manager 4,2023-10-06,93934.32573,113590.7699,0.778630751,841,74,2023-10,2023,Debit,110.0
62,CUST5894,ACC23985,Credit,Transfer,Savings Account,Firm D,South,Manager 2,2023-06-01,110035.4653,87317.43354,0.923771202,671,152,2023-06,2023,Debit,100.0
193,CUST8772,ACC23985,Credit,Deposit,Home Loan,Firm D,East,Manager 1,2024-03-02,53261.23552,88683.23287,0.710467686,551,127,2024-03,2024,Credit,275.0
135,CUST1497,ACC23985,Savings,Transfer,Savings Account,Firm C,North,Manager 4,2024-06-16,80112.81644,95588.08645,0.22551007,772,91,2024-06,2024,Debit,106.0
36,CUST8091,ACC24070,Loan,Deposit,Savings Account,Firm C,North,Manager 1,2023-07-19,17475.74958,88914.74135,0.424062254,789,127,2023-07,2023,Credit,133.0
115,CUST4769,ACC24070,Current,Transfer,Home Loan,Firm D,East,Manager 4,2024-06-13,111534.8367,75843.62816,0.25645252,675,70,2024-06,2024,Debit,236.0
180,CUST9731,ACC24508,Loan,Deposit,Home Loan,Firm D,East,Manager 3,2023-06-06,79121.42154,64104.81478,0.794726985,486,161,2023-06,2023,Credit,129.0
120,CUST6937,ACC24508,Current,Withdrawal,Mutual Fund,Firm A,South,Manager 1,2023-10-16,27656.63933,109317.4965,0.138056965,557,7,2023-10,2023,Debit,132.0
168,CUST3602,ACC24880,Credit,Deposit,Home Loan,Firm A,West,Manager 2,2023-09-26,49818.53896,34099.05616,0.464511354,568,216,2023-09,2023,Credit,194.0
171,CUST5545,ACC24880,Savings,Deposit,Mutual Fund,Firm A,North,Manager 2,2024-03-28,44410.00366,-5199.930807,0.591813094,495,156,2024-03,2024,Credit,154.0
90,CUST3315,ACC24981,Savings,Withdrawal,Home Loan,Firm D,Central,Manager 1,2023-07-01,87135.50004,79579.94924,0.616491712,708,127,2023-07,2023,Debit,154.0
175,CUST9564,ACC24981,Savings,Deposit,Personal Loan,Firm A,South,Manager 1,2023-11-20,42706.87696,87236.53914,0.193033971,352,80,2023-11,2023,Credit,96.0
177,CUST3069,ACC25132,Current,Payment,Mutual Fund,Firm C,West,Manager 4,2023-08-16,51891.60996,39204.78178,0.318814463,710,178,2023-08,2023,Debit,103.0
74,CUST8416,ACC25132,Credit,Payment,Credit Card,Firm A,Central,Manager 4,2024-05-24,78848.97944,62869.22346,0.607814364,847,45,2024-05,2024,Debit,83.0
176,CUST5610,ACC25811,Loan,Payment,Mutual Fund,Firm B,South,Manager 2,2024-02-06,33936.64367,79341.4972,0.620229529,589,41,2024-02,2024,Debit,204.0
49,CUST2915,ACC25811,Current,Payment,Credit Card,Firm D,South,Manager 1,2024-05-24,44397.6266,81856.57309,0.767041298,552,183,2024-05,2024,Debit,108.0
6,CUST3006,ACC26026,Credit,Withdrawal,Mutual Fund,Firm D,North,Manager 3,2024-03-21,25874.3663,68443.94386,0.376217741,557,58,2024-03,2024,Debit,69.0
186,CUST1569,ACC26940,Savings,Payment,Personal Loan,Firm C,West,Manager 2,2023-05-29,45963.64249,39019.98408,0.429083258,448,75,2023-05,2023,Debit,147.0
9,CUST4003,ACC26940,Current,Transfer,Mutual Fund,Firm D,East,Manager 1,2023-08-06,55945.33937,59039.57115,0.655595343,692,235,2023-08,2023,Debit,69.0
92,CUST8390,ACC26940,Current,Withdrawal,Savings Account,Firm C,East,Manager 2,2023-10-24,70038.9242,59189.00773,0.671116153,691,19,2023-10,2023,Debit,79.0
48,CUST5428,ACC26956,Loan,Payment,Savings Account,Firm E,East,Manager 2,2023-08-11,39289.40172,43017.22092,0.496883296,843,40,2023-08,2023,Debit,178.0
159,CUST6776,ACC26973,Current,Deposit,Credit Card,Firm E,North,Manager 3,2023-08-18,56479.68877,32916.19451,0.288895411,426,134,2023-08,2023,Credit,84.0
56,CUST7345,ACC28292,Current,Transfer,Credit Card,Firm C,Central,Manager 2,2023-06-17,66721.18509,82005.75143,0.168218712,385,182,2023-06,2023,Debit,69.0
143,CUST4855,ACC28292,Loan,Payment,Home Loan,Firm B,Central,Manager 4,2024-02-21,42626.26484,51687.66788,0.318083634,485,236,2024-02,2024,Debit,249.0
66,CUST9731,ACC28305,Credit,Withdrawal,Home Loan,Firm B,North,Manager 1,2023-06-10,74841.32265,117777.011,0.365468423,578,226,2023-06,2023,Debit,133.0
134,CUST6038,ACC28612,Loan,Payment,Home Loan,Firm D,South,Manager 4,2024-06-22,85067.36773,27047.56063,0.520253867,707,225,2024-06,2024,Debit,491.0
112,CUST2464,ACC29231,Loan,Deposit,Mutual Fund,Firm A,North,Manager 4,2023-08-16,71757.6579,113753.4928,0.519914985,706,21,2023-08,2023,Credit,171.0
171,CUST1376,ACC29356,Credit,Withdrawal,Savings Account,Firm D,East,Manager 2,2024-01-29,81150.96501,91583.15867,0.299448897,365,91,2024-01,2024,Debit,165.0
163,CUST1498,ACC29396,Savings,Deposit,Savings Account,Firm E,East,Manager 3,2023-06-06,13840.62421,70447.14038,0.175123903,733,232,2023-06,2023,Credit,116.0
10,CUST2942,ACC29396,Loan,Withdrawal,Credit Card,Firm A,South,Manager 3,2023-09-19,93775.82128,42812.84946,0.667118736,461,119,2023-09,2023,Debit,93.0
128,CUST9038,ACC29396,Savings,Payment,Mutual Fund,Firm A,West,Manager 3,2023-11-28,53981.45073,109197.0589,0.283786421,553,231,2023-11,2023,Debit,70.0
133,CUST2694,ACC29477,Loan,Payment,Savings Account,Firm E,South,Manager 1,2023-11-06,91070.932,91613.95595,0.760211297,784,114,2023-11,2023,Debit,164.0
93,CUST6565,ACC29477,Credit,Deposit,Home Loan,Firm E,East,Manager 3,2024-05-15,3997.036137,98370.19266,0.609643523,843,158,2024-05,2024,Credit,191.0
142,CUST1569,ACC29646,Loan,Withdrawal,Home Loan,Firm E,West,Manager 1,2024-04-15,54297.76613,19790.47971,0.727681236,688,210,2024-04,2024,Debit,300.0
90,CUST5253,ACC30146,Savings,Transfer,Personal Loan,Firm C,West,Manager 3,2023-05-15,46891.00481,119549.8464,0.589104349,740,167,2023-05,2023,Debit,107.0
62,CUST7028,ACC30146,Current,Withdrawal,Savings Account,Firm C,East,Manager 4,2023-10-23,49172.54085,28356.73787,0.380336179,676,116,2023-10,2023,Debit,161.0
98,CUST9248,ACC30146,Current,Transfer,Home Loan,Firm C,East,Manager 2,2024-01-29,87002.45147,25113.77066,0.129235674,652,176,2024-01,2024,Debit,98.0
110,CUST7395,ACC30146,Current,Transfer,Home Loan,Firm C,South,Manager 1,2024-05-02,49376.282,43079.31736,1.072391242,721,171,2024-05,2024,Debit,94.0
161,CUST9248,ACC30787,Savings,Transfer,Credit Card,Firm C,South,Manager 3,2023-06-18,76142.50495,27158.43922,0.611815013,337,109,2023-06,2023,Debit,160.0
55,CUST9962,ACC30787,Credit,Deposit,Personal Loan,Firm E,Central,Manager 2,2024-01-29,78649.1686,60225.02599,0.364121516,631,26,2024-01,2024,Credit,225.0
149,CUST1223,ACC30852,Savings,Withdrawal,Home Loan,Firm C,Central,Manager 4,2024-05-02,86652.65236,46609.71693,0.766669835,566,78,2024-05,2024,Debit,232.0
147,CUST3131,ACC31539,Savings,Payment,Home Loan,Firm C,Central,Manager 2,2024-01-12,52127.89869,39287.16612,0.580789209,569,29,2024-01,2024,Debit,80.0
29,CUST8288,ACC31539,Savings,Deposit,Savings Account,Firm C,South,Manager 3,2024-06-08,60974.4831,58324.09021,0.529987638,823,124,2024-06,2024,Credit,121.0
9,CUST2427,ACC31902,Loan,Transfer,Savings Account,Firm B,West,Manager 2,2024-05-04,80875.76292,96948.99843,0.442550791,733,91,2024-05,2024,Debit,425.0
69,CUST4241,ACC32627,Loan,Transfer,Home Loan,Firm A,East,Manager 3,2024-01-08,70390.8241,118785.0375,0.366922585,520,97,2024-01,2024,Debit,304.0
70,CUST5105,ACC32627,Credit,Payment,Credit Card,Firm E,South,Manager 2,2024-06-13,-3723.918966,26315.20003,0.28501726,687,226,2024-06,2024,Debit,82.0
122,CUST6350,ACC32890,Credit,Transfer,Credit Card,Firm B,West,Manager 2,2023-04-30,119904.5257,97507.84045,0.876223626,693,149,2023-04,2023,Debit,68.0
45,CUST8416,ACC32890,Savings,Payment,Personal Loan,Firm C,North,Manager 3,2024-02-06,52503.84767,102540.9762,0.192755688,320,191,2024-02,2024,Debit,204.0
182,CUST7793,ACC33287,Savings,Deposit,Credit Card,Firm E,Central,Manager 1,2023-05-11,58425.29306,57078.18526,0.724949299,588,88,2023-05,2023,Credit,96.0
85,CUST8318,ACC33287,Savings,Transfer,Savings Account,Firm A,West,Manager 1,2023-08-18,3208.565062,92345.48415,0.657938031,536,172,2023-08,2023,Debit,60.0
86,CUST2349,ACC33287,Current,Withdrawal,Personal Loan,Firm A,West,Manager 3,2024-05-22,90097.35128,95083.17247,0.334143504,334,161,2024-05,2024,Debit,278.0
36,CUST9843,ACC34119,Credit,Withdrawal,Personal Loan,Firm E,East,Manager 3,2024-02-13,49322.93479,102787.6537,0.703303568,514,100,2024-02,2024,Debit,153.0
63,CUST4780,ACC34431,Savings,Payment,Credit Card,Firm B,West,Manager 4,2023-06-10,29402.805,105978.6221,0.256959113,817,220,2023-06,2023,Debit,140.0
95,CUST7395,ACC34431,Current,Withdrawal,Credit Card,Firm B,West,Manager 1,2024-02-04,2831.307371,65012.67382,0.171013369,573,198,2024-02,2024,Debit,239.0
114,CUST7173,ACC34568,Credit,Withdrawal,Savings Account,Firm C,South,Manager 1,2023-05-04,69326.36384,70727.16177,0.54969061,775,83,2023-05,2023,Debit,122.0
113,CUST9731,ACC34568,Savings,Transfer,Mutual Fund,Firm E,Central,Manager 1,2023-09-28,-7536.141488,112220.4932,0.454881092,635,144,2023-09,2023,Debit,103.0
153,CUST5664,ACC34821,Current,Deposit,Savings Account,Firm C,East,Manager 2,2023-11-08,79014.17173,67769.48711,0.285244245,317,56,2023-11,2023,Credit,258.0
54,CUST2694,ACC35163,Credit,Transfer,Credit Card,Firm D,East,Manager 1,2024-01-20,34609.33769,100708.3889,0.412738181,662,144,2024-01,2024,Debit,338.0
143,CUST6549,ACC35419,Current,Transfer,Credit Card,Firm E,West,Manager 3,2024-03-12,12486.61233,57279.65624,0.566752522,488,223,2024-03,2024,Debit,266.0
132,CUST9962,ACC35419,Credit,Deposit,Mutual Fund,Firm B,West,Manager 2,2024-06-11,6483.094472,55698.32351,0.602706284,673,216,2024-06,2024,Credit,91.0
103,CUST5574,ACC36079,Current,Payment,Home Loan,Firm B,North,Manager 1,2023-05-05,80393.79315,35164.66648,0.002559855,596,144,2023-05,2023,Debit,97.0
149,CUST1121,ACC37688,Loan,Deposit,Savings Account,Firm B,North,Manager 1,2024-01-20,62238.03208,113508.665,0.429920151,500,79,2024-01,2024,Credit,131.0
22,CUST6210,ACC39161,Savings,Deposit,Mutual Fund,Firm A,South,Manager 2,2023-09-26,80862.91572,66327.72133,0.429226076,740,153,2023-09,2023,Credit,222.0
124,CUST5105,ACC39161,Current,Payment,Savings Account,Firm C,Central,Manager 1,2024-06-13,82754.46141,42076.86243,0.719826256,478,218,2024-06,2024,Debit,261.0
170,CUST6330,ACC39482,Savings,Transfer,Credit Card,Firm A,East,Manager 4,2023-08-16,-16065.17912,95614.18147,0.600890546,754,195,2023-08,2023,Debit,162.0
139,CUST7345,ACC39482,Credit,Deposit,Mutual Fund,Firm E,North,Manager 4,2023-11-18,19111.34191,110538.099,0.476810834,535,70,2023-11,2023,Credit,94.0
142,CUST1776,ACC39482,Loan,Deposit,Savings Account,Firm A,West,Manager 1,2024-03-12,52274.16856,99889.90177,0.435633331,579,11,2024-03,2024,Credit,115.0
100,CUST3153,ACC39500,Current,Transfer,Mutual Fund,Firm E,South,Manager 4,2023-09-11,65297.61838,32232.33715,0.56463612,690,205,2023-09,2023,Debit,200.0
38,CUST4258,ACC39500,Loan,Withdrawal,Credit Card,Firm A,South,Manager 1,2024-01-01,75883.42472,90830.34292,0.263983363,750,77,2024-01,2024,Debit,112.0
134,CUST3609,ACC39529,Savings,Transfer,Personal Loan,Firm A,North,Manager 4,2023-08-16,44935.23204,67459.7909,0.20910935,684,141,2023-08,2023,Debit,87.0
169,CUST2188,ACC40939,Loan,Payment,Mutual Fund,Firm C,Central,Manager 2,2024-03-12,-29124.62485,70433.48821,0.695775875,594,141,2024-03,2024,Debit,267.0
32,CUST9129,ACC40939,Loan,Deposit,Credit Card,Firm C,Central,Manager 3,2024-06-21,70202.29994,82158.42249,0.400149523,758,141,2024-06,2024,Credit,90.0
165,CUST1738,ACC40952,Current,Withdrawal,Home Loan,Firm D,North,Manager 1,2023-09-06,70802.98982,57500.5844,0.606729618,770,118,2023-09,2023,Debit,78.0
197,CUST1776,ACC41829,Current,Payment,Mutual Fund,Firm C,South,Manager 4,2023-08-16,53973.43114,67695.44119,0.337833332,658,225,2023-08,2023,Debit,200.0
96,CUST8091,ACC42467,Loan,Transfer,Personal Loan,Firm C,South,Manager 4,2023-10-21,15062.59519,-30766.90697,0.404255506,375,39,2023-10,2023,Debit,187.0
51,CUST9079,ACC42467,Loan,Deposit,Personal Loan,Firm B,South,Manager 1,2024-02-09,4271.808546,80578.21183,0.42365985,499,197,2024-02,2024,Credit,95.0
1,CUST4595,ACC42710,Loan,Payment,Personal Loan,Firm E,West,Manager 1,2023-08-06,39383.55907,40230.34533,0.625391165,613,221,2023-08,2023,Debit,86.0
61,CUST5545,ACC42710,Loan,Payment,Savings Account,Firm D,East,Manager 2,2023-12-10,31910.05636,46011.58187,0.46037769,601,220,2023-12,2023,Debit,82.0
112,CUST9731,ACC42903,Savings,Payment,Credit Card,Firm D,East,Manager 4,2023-07-05,68261.0276,53889.29356,0.200806213,517,35,2023-07,2023,Debit,165.0
175,CUST3315,ACC45101,Credit,Payment,Personal Loan,Firm C,Central,Manager 3,2024-06-08,27244.1007,61320.51541,0.784786789,556,101,2024-06,2024,Debit,401.0
129,CUST2349,ACC45521,Current,Deposit,Personal Loan,Firm C,North,Manager 4,2023-07-01,29836.08888,102799.3971,0.334994806,355,70,2023-07,2023,Credit,146.0
129,CUST8028,ACC45521,Current,Withdrawal,Home Loan,Firm B,North,Manager 1,2024-05-02,89912.07264,16875.76442,0.485902204,544,141,2024-05,2024,Debit,194.0
86,CUST7933,ACC45907,Savings,Payment,Savings Account,Firm E,West,Manager 1,2023-08-11,122390.6882,73860.08518,0.54667639,604,25,2023-08,2023,Debit,82.0
195,CUST6776,ACC45907,Savings,Deposit,Mutual Fund,Firm C,Central,Manager 2,2023-11-06,48022.19413,9234.352543,0.324585385,568,173,2023-11,2023,Credit,87.0
42,CUST9843,ACC45907,Loan,Payment,Mutual Fund,Firm E,South,Manager 4,2024-03-14,30918.87133,144824.0552,0.35846024,433,122,2024-03,2024,Debit,129.0
26,CUST1776,ACC45951,Loan,Deposit,Home Loan,Firm E,North,Manager 3,2023-10-20,20859.34944,85726.37874,0.510762222,743,64,2023-10,2023,Credit,231.0
192,CUST3069,ACC45968,Current,Payment,Savings Account,Firm C,North,Manager 3,2023-08-17,90993.54691,129138.0076,0.687679251,485,239,2023-08,2023,Debit,130.0
142,CUST9666,ACC45968,Loan,Payment,Savings Account,Firm D,Central,Manager 1,2023-11-25,103256.1324,20294.06891,0.588772015,638,13,2023-11,2023,Debit,100.0
75,CUST9066,ACC46655,Current,Transfer,Home Loan,Firm B,East,Manager 1,2023-06-20,99548.80757,17704.31959,0.709739493,713,223,2023-06,2023,Debit,86.0
41,CUST9129,ACC46655,Credit,Withdrawal,Credit Card,Firm C,East,Manager 3,2023-10-20,66753.35776,13779.82401,0.627739962,808,146,2023-10,2023,Debit,107.0
123,CUST8390,ACC46655,Loan,Transfer,Home Loan,Firm B,North,Manager 1,2024-01-12,17119.20156,73636.40046,0.669830139,529,77,2024-01,2024,Debit,84.0
14,CUST2942,ACC46655,Current,Payment,Mutual Fund,Firm E,South,Manager 2,2024-05-27,14649.8624,55737.15323,0.505876185,729,160,2024-05,2024,Debit,136.0
121,CUST2427,ACC46953,Savings,Payment,Credit Card,Firm E,West,Manager 2,2023-12-25,6872.244576,42748.66956,0.349438295,512,203,2023-12,2023,Debit,252.0
84,CUST8529,ACC47099,Current,Payment,Credit Card,Firm A,East,Manager 1,2024-03-02,38383.3851,77076.63782,0.072960474,344,77,2024-03,2024,Debit,156.0
63,CUST4669,ACC48501,Loan,Withdrawal,Mutual Fund,Firm C,West,Manager 3,2024-05-02,14881.16795,34627.97917,0.307348424,780,164,2024-05,2024,Debit,130.0
56,CUST1497,ACC49140,Current,Payment,Credit Card,Firm B,West,Manager 2,2024-03-23,33939.68574,134797.4596,0.575198163,441,69,2024-03,2024,Debit,144.0
21,CUST4684,ACC49140,Credit,Payment,Savings Account,Firm D,West,Manager 4,2024-06-22,96913.83489,15668.11799,0.720605963,783,168,2024-06,2024,Debit,62.0
26,CUST4373,ACC49180,Current,Withdrawal,Credit Card,Firm D,Central,Manager 3,2024-01-04,39262.80383,123783.4018,0.549458117,666,209,2024-01,2024,Debit,304.0
180,CUST2842,ACC49180,Current,Withdrawal,Home Loan,Firm C,North,Manager 3,2024-04-01,109356.839,45153.93637,0.560204978,388,162,2024-04,2024,Debit,88.0
193,CUST7002,ACC49364,Savings,Payment,Savings Account,Firm B,South,Manager 2,2023-09-30,46503.14116,56719.75502,0.436683737,416,178,2023-09,2023,Debit,86.0
172,CUST6947,ACC49395,Savings,Deposit,Credit Card,Firm A,East,Manager 3,2023-07-17,71190.17615,50984.89346,0.25009788,330,85,2023-07,2023,Credit,85.0
140,CUST3131,ACC49422,Current,Withdrawal,Savings Account,Firm E,Central,Manager 2,2023-05-03,32788.7096,67303.17653,0.504767149,740,197,2023-05,2023,Debit,121.0
146,CUST3059,ACC49422,Loan,Withdrawal,Mutual Fund,Firm C,West,Manager 1,2023-07-30,49234.95296,101668.8436,0.613463973,642,229,2023-07,2023,Debit,65.0
80,CUST2871,ACC49422,Current,Transfer,Home Loan,Firm E,Central,Manager 2,2023-10-31,77458.12456,33544.57858,0.640516414,333,142,2023-10,2023,Debit,74.0
192,CUST4360,ACC49422,Credit,Withdrawal,Home Loan,Firm E,Central,Manager 3,2024-05-15,76732.3929,63700.35189,0.390218845,642,120,2024-05,2024,Debit,124.0
126,CUST7793,ACC49774,Current,Deposit,Home Loan,Firm A,South,Manager 1,2023-08-11,38268.58723,129706.0214,0.443119677,756,79,2023-08,2023,Credit,99.0
118,CUST3810,ACC49774,Savings,Deposit,Credit Card,Firm D,West,Manager 4,2024-01-08,20664.40982,88483.42208,0.483333125,522,29,2024-01,2024,Credit,150.0
